name,program_number,model_type,lat,lon,address,phone,contract_type,summer_session
QUEENS VILLAGE SACC PROG,2847901,null,40.7181834,-73.7349062,"96-09 SPRINGFIELD BLVD QUEENS VILLAGE, NY 11429",(718) 479-5926,PP,open during summer only
PRECIOUS MOMENTS NURSERY,2851901,null,40.7916913,-73.81271,"11-02 CLINTONVILLE ST WHITESTONE, NY 11357",(718) 767-6655,PP,open during summer only
PRECIOUS CHILDREN DCC,2852001,null,40.7135381,-73.7566956,"202-11 JAMAICA AVENUE QUEENS, NY 11423",(718) 380-0758,PP,
YESHIVA OHEL SIMCHA,2852170,null,40.7266368,-73.8224747,"141-41 72ND AVE FLUSHING, NY 11367",,PP,
STEPPING STONE PRE-SCHOOL,2853301,null,40.7005313,-73.7482228,"114-36 FRANCIS LEWIS BLVD ST. ALBANS, NY 11411",(718) 465-2344,PP,
STEPPING STONE PRESCHOOL,2853401,null,40.7006406,-73.7482719,"114-30 FRANCIS LEWIS BLV ST. ALBANS, NY 11411",(718) 465-2344,PP,
STEPPING STONE PRE-SCHOOL,2853501,null,40.7004924,-73.7482053,"114-38 FRANCIS LEWIS BLVD ST. ALBANS, NY 11411",(718) 465-2344,PP,
BRIGHT BEGINNINGS QN VILL,2853601,null,40.7386724,-73.7337834,"80-45 WINCHESTER BLVD. QUEENS VILLAGE, NY 11427",(718) 264-3858,PP,open during summer only
LAGUARDIA COMM. COLLEGE,2859901,null,40.7438795,-73.9351386,"31-10 THOMSON AVE RM MBO9 LONG ISLAND CITY, NY 11101",(718) 482-5295,PP,
EASY LEARNING PRE-SCHOOL,2863801,null,40.675164,-73.813384,"124-04 ROCKAWAY BLVD SOUTH OZONE PK, NY 11420",(718) 843-1740,PP,
BETHLEHEM CHILD DEVEL CTR,2863901,null,40.7162513,-73.7368327,"218-20 98TH AVENUE QUEENS, NY 11429",(718) 468-8311,PP,open during summer only
YESHIVA TIFERETH MOSHE DC,2864301,null,40.707349,-73.834189,"83-06 ABINGDON ROAD KEW GARDENS, NY 11415",(718) 846-7300,PP,open during summer only
RAINBOWLAND NURSERY #2,2865601,null,40.7464885,-73.9100176,"39-60 54TH STREET WOODSIDE, NY 11377",(718) 899-7590,PP,open during summer only
RAINBOWLAND NURSERY SCHL,2865701,null,40.7546367,-73.8898037,"33-11 77TH STREET JACKSON HEIGHTS, NY 11372",(718) 803-1728,PP,open during summer only
DEVOTED PARENTS ASSOC,2866701,null,40.6689512,-73.7362539,"137-25 BROOKVILLE BLVD ROSEDALE, NY 11422",(718) 949-9845,PP,open during summer only
STEPPING STONE PRESCHOOL,2867401,null,40.7005989,-73.748585,"114-28 FRANCIS LEWIS BLVD SAINT ALBANS, NY 11411",(718) 465-2344,PP,
PICKWICK SCHOOL,2868001,null,40.7099795,-73.806705,"151-15 85TH DRIVE JAMAICA, NY 11432",(718) 526-1340,PP,open during summer only
ONCE UPON A TIME INC.,2868601,null,40.695278,-73.836031,"87-61 111TH STREET RICHMOND, NY 11418",(718) 846-9182,PP,open during summer only
SOLOMON SCHECHTER SCHOOL,2877570,null,40.724579,-73.811094,"76-16 PARSONS BLVD FLUSHING, NY 11366",(718) 591-9800,PP,
CAMBRIA CTR FOR THE GIFTED,2880001,null,40.6909734,-73.728565,"233-10 LINDEN BLVD QUEENS, NY 11411",(718) 341-1991,PP,
OUR KIDS PLACE COUNTRY DAY INC,2880801,null,40.652625,-73.7352053,"253-50 149TH AVE ROSEDALE, NY 11422",(718) 276-3722,PP,open during summer only
ALL MY CHILDREN DAYCARE 2,2881701,GC,40.7316829,-73.799913,"169-07 JEWEL AVENUE FLUSHING, NY 11365",(718) 658-1563,FF,open during summer only
THE LEARNING TREE CAMP,2890001,null,40.7573339,-73.865412,"103-02 NORTHERN BLVD CORONA, NY 11368",,PP,
IMAGINE ELC@JAMAICA KIDS,2890801,null,40.702689,-73.800696,"ONE JAMAICA CENTER PLAZA JAMAICA, NY 11432",,PP,open during summer only
ELISHAMA CHILDREN'S PREP SCH,2890901,null,40.677852,-73.754351,"135-33 SPRINGFIELD BLVD SPRINGFLD GARDENS, NY 11413",(718) 468-8744,PP,
BNOS MALKA ACADEMY,2892770,null,40.7228693,-73.8384381,"71-02 113TH STREET FOREST HILLS, NY 11375",(718) 736-9159,PP,
BETH GAVRIEL DCC,2892801,null,40.712455,-73.8324968,"119-03 80TH ROAD KEW GARDENS, NY 11415",(718) 268-3071,PP,
UNLIMITED EDUCATIONAL SERVICE,2893001,null,40.689946,-73.778353,"114-62 MERRICK BLVD JAMAICA, NY 11434",(718) 291-0922,PP,
HOME SWEET HOME DAY CARE,2893101,null,40.7476966,-73.7821208,"196-17 53RD AVE FRESH MEADOWS, NY 11365",(718) 357-9738,PP,open during summer only
CHER INC,2893201,null,40.6944744,-73.7529798,"199-15 LINDEN BLVD SAINT ALBANS, NY 11412",(718) 481-8687,PP,open during summer only
PRECIOUS KID CARGO CCC,2893301,null,40.7310354,-73.6891294,"13 SOUTH 6TH STREET NEW HYDE PARK, NY 11040",,PP,open during summer only
KAMAJA MULTICULTURAL DCC,2893401,null,40.673988,-73.800272,"140-12 ROCKAWAY BLVD SOUTH OZONE, NY 11436",(718) 659-0336,PP,
TRACY'S DAY CARE CENTER,2893601,null,40.6768851,-73.7419591,"228-01 MERRICK BLVD  LAURELTON, NY 11413",(718) 723-6253,PP,
STAR PARADISE INC.,2894001,null,40.7373229,-73.8771249,"86-55 BROADWAY QUEENS, NY 11373",,PP,
MIDDLETON'S DAY CARE CTR,2894101,null,40.6770175,-73.7438713,"226-02 MERRICK BLVD SPRINGFLD GARDENS, NY 11413",       ,PP,open during summer only
GOOD FOUNDATION PRESCHOOL,2894801,null,40.6932782,-73.7555806,"196-04 LINDEN BLVD SAINT ALBANS, NY 11412",(718) 712-1500,PP,open during summer only
GOOD FOUNDATION KNDGRTN,2894901,null,40.693244,-73.75576,"196-02A LINDEN BLVD ST ALBANS, NY 11412",(718) 712-1500,PP,
STEPPING STONE PRE+GRADE,2895001,null,40.7005702,-73.7482403,"114-34 FRANCIS LEWIS BLVD SAINT ALBANS, NY 11411",(718) 465-2344,PP,
LAURELTON DAY CARE,2895301,null,40.6691922,-73.7514776,"141-19 224TH STREET LAURELTON, NY 11413",(718) 712-1860,PP,open during summer only
NEW MILLENIUM DAY SCHOOL,2895501,null,40.7077439,-73.7876144,"172-07 JAMAICA AVENUE JAMAICA, NY 11432",(718) 739-6566,PP,
FUTURE LEADERS CTR INC.,2895601,null,40.674852,-73.804836,"133-13 ROCKAWAY BLVD SOUTH OZONE PK, NY 11420",(718) 529-8127,PP,
PACCOR KIDS,2895701,null,40.6832458,-73.7821169,"118-17 GUY BREWER BLVD JAMAICA, NY 11434",(718) 525-9620,PP,open during summer only
GIL BLU NURSERY KINDERGAR,2895801,null,40.684064,-73.770866,"120-02 MERRICK BLVD JAMAICA, NY 11434",(718) 723-8454,PP,
CHINESE METH/MEI WAH DCC,2911001,null,40.7122238,-73.9967001,"69 MADISON ST NEW YORK, NY 10002",(212) 349-2703,PP,open during summer only
KIDS KORNER PRE SCH,2912401,null,40.7135192,-73.9986899,"247 WORTH STREET NYC, NY 10011",(212) 229-9340,PP,
THE COLLEGE OF S.I ASSOC. INC,2914401,null,40.5996743,-74.1495334,"2800 VICTORY BLVD STATEN ISLAND, NY 10314",(718) 982-3190,PP,open during summer only
READY TO LEARN CCC,2915101,null,40.7117174,-73.8737273,"67-52 79TH STREET MIDDLE VILLAGE, NY 11379",(718) 326-8018,PP,
HOSTOS CHILDREN'S CENTER,2917101,null,40.8461819,-73.9095033,"475 GRAND CONCOURSE RM10 BRONX, NY 10451",(718) 518-4176,PP,open during summer only
SPUYTEN DUYVIL PRE SCH,2919601,null,40.8794197,-73.9074286,"3041 KINGSBRIDGE AVENUE BRONX, NY 10463",(718) 549-1525,PP,open during summer only
YAI/NYL HARRY H GORDON,2922201,null,40.8582005,-73.8891927,"2465 BATHGATE AVE BRONX, NY 10458",(718) 367-5917,PP,
LITTLE PEOPLES DC INC.,2922401,null,40.8485132,-73.9235411,"1600 SEDWICK AVE BRONX, NY 10453",,PP,open during summer only
PLYMOUTH CHURCH SCHOOL,2924201,null,40.6993293,-73.9937227,"75 HICKS STREET BROOKLYN, NY 11201",(718) 624-9385,PP,
SHOSTAKOVICH PLAY SCHOOL,2925601,null,40.590547,-73.9719456,"297 AVENUE  X BROOKLYN, NY 11223",(718) 376-8056,PP,
ST. PETER'S PRE SCHOOL,2925901,null,40.6826903,-73.8811885,"105 HIGHLAND PLACE BROOKLYN, NY 11208",(718) 647-1007,PP,
EAST MIDWOOD HEBREW DAY SCHOOL,2926501,null,40.6224333,-73.9549693,"1256 EAST 21 STREET BROOKLYN, NY 11210",(718) 253-1555,PP,
GUILD FOR EXCPTNL CHLDRN,2929301,null,40.6308149,-73.9969332,"1273 57TH ST BROOKLYN, NY 11219",       ,PP,open during summer only
SEPHARDIC COMM YOUTH CTR,2929501,null,40.6022687,-73.9654137,"1901 OCEAN PARKWAY BROOKLYN, NY 11223",(718) 627-4300,PP,open all year
STORYBOOK LAND DAY SCH,2930501,null,40.6041626,-73.9990686,"8638 20TH AVE BROOKLYN, NY 11214",(718) 996-8714,PP,open during summer only
RED HAT DAY CARE CTR INC.,2932401,null,40.6175504,-73.9597596,"1317 EAST 15TH STREET BROOKLYN, NY 11230",,PP,open during summer only
UNIQUE START DCC,2932501,null,40.6707188,-73.9208695,"1746 STERLING PLACE BROOKLYN, NY 11233",(718) 773-5952,PP,open during summer only
HOLY MOUNTAIN NUR SCHOOL,2935901,null,40.7420909,-73.9195882,"41-05 45TH STREET QUEENS, NY 11104",(718) 762-2700,PP,open during summer only
COMMUNITY LEARNING CENTER,2944201,null,40.682019,-73.8539133,"85-15 101 AVENUE QUEENS, NY 11416",,PP,open during summer only
LITTLE FRIENDS HOUSE #II,2946701,null,40.7259894,-73.8046359,"75-41 164TH STREET FRESH MEADOWS, NY 11366",(718) 380-8800,PP,open during summer only
RENANIM MANHATTAN INC,2946901,null,40.7609786,-73.9618411,"336 EAST 61ST STREET NEW YORK, NY 10021",(212) 750-2266,PP,
FOREST HILLS NUR & KDGN,2948201,null,40.7253813,-73.8434977,"108-56 69TH AVE. FOREST HILLS, NY 11375",,PP,open during summer only
THE LITTLE DOLPHIN,2949701,null,40.6788105,-73.843817,"107-01 CROSSBAY BLVD OZONE PARK, NY 11417",(718) 641-7754,PP,
CHILDREN'S CTR OF JOHN JAY,2951901,null,40.7709036,-73.9897302,"860  11 TH AVE. #L3.61.00 NEW YORK, NY 10019",(212) 237-8311,PP,open during summer only
A-RUM NURSERY SCHOOL,2956901,null,40.7572305,-73.825876,"140-30 SANFORD AVE #1C FLUSHING, NY 11355",(718) 359-4476,PP,open during summer only
ABC DAY CARE CTR,2960501,null,40.7243858,-73.9496987,"109 NASSAU AVE BKLYN, NY 11222",(718) 389-9004,PP,
YOUNG STAGE DAY CARE CTR,2960601,null,40.658717,-73.957858,"1072-76 RUTLAND RD BKLYN, NY 11212",(718) 467-6726,PP,
MS SUNSHINE DAY CARE,2985501,null,40.5768896,-73.9616087,"3096 BRIGHTON 6TH ST #A4 BROOKLYN, NY 11235",(718) 648-8786,PP,open during summer only
"TINY TOT PLAYHOUSE, THE",2986001,null,40.6225704,-74.0328595,"243 88TH STREET  BROOKLYN, NY 11209",(718) 745-4509,PP,open during summer only
FIRST IMPRESSIONS NURSERY SCHL,2986301,null,40.642172,-73.9541989,"2513 BEDFORD AVE BKLYN, NY 11226",(728) 469-9792,PP,open during summer only
BAMBI DAY CARE III,2987001,null,40.6001071,-73.9401777,"2114 BROWN ST BROOKLYN, NY 11229",(718) 368-1817,PP,
HOREB DC CTR PS,2987201,null,40.6610608,-73.9430071,"520 KINGSTON AVE BROOKLYN, NY 11225",(718) 771-0849,PP,open during summer only
REGO PARK DAY SCHOOL I,2992701,null,40.728067,-73.864509,"63-44 WETHEROLE ST REGO PARK, NY 11374",(718) 897-0693,PP,open during summer only
MANHATTAN NURSERY SCH,2994501,null,40.7477712,-73.9874152,"38 W. 32ND STREET #306 NEW YORK , NY 10001",(212) 631-0547,PP,
LITTLE SCHOLARS DCC #3,2996201,null,40.635292,-73.9189437,"1711 RALPH AVE BROOKLYN, NY 11236",(718) 451-5145,PP,
BURATINO INTERNATIONAL DC,2996701,null,40.5791447,-73.9668069,"2962 BRIGHTON 1ST STREET BROOKLYN, NY 11235",(718) 368-2113,PP,
RING AROUND THE ROSIE,2996801,null,40.6225333,-74.0054727,"7106 13TH AVE BROOKLYN, NY 11228",(718) 492-7464,PP,
IMMIGRANT SOCIAL SERVICES,3001001,null,40.7130758,-73.9915487,"122 HENRY STREET. P.S.2 NEW YORK, NY 10002",(212) 571-1840,PP,open during summer only
GODDARD RIVERSIDE CC,3005901,null,40.7898424,-73.9692462,"647  COLUMBUS AVENUE NEW YORK, NY 10025",(212) 799-9400,PP,open during summer only
I.S.S. AFTER SCH PRO PS42,3011801,null,40.716136,-73.9908411,"71 HESTER STREET NEW YORK, NY 10002",(212) 226-8410,PP,open during summer only
NYCHA STH BCH HOUSES YTH,3015901,null,40.5944682,-74.078616,"155 NORWAY AVE STATEN ISLAND, NY 10305",,PP,open during summer only
"KIPS BAY BOYS CLUB, INC",3018401,null,40.8172799,-73.8566143,"1930 RANDALL AVE BRONX, NY 10473",(718) 893-8254,PP,open during summer only
ST EDMUNDS YOUTH PROGRAMS INC,3018701,null,40.8499279,-73.9082118,"1905 MORRIS AVENUE BRONX, NY 10453",(718) 466-9370,PP,open during summer only
EAST SIDE HSES-MOTT HAVEN,3019001,null,40.8128648,-73.9212423,"375 EAST 143RD ST. BRONX, NY 10454",(718) 665-5250,PP,open during summer only
ST. ANN'S CH. AFT. SCH PR,3019501,null,40.8084846,-73.9169515,"295 ST. ANN'S AVE. BRONX, NY 10454",(718) 585-6325,PP,open during summer only
FEATHERBED LANE IMPR ASSN,3021001,null,40.8480105,-73.9210187,"1491 MONTGOMERY AVENUE BRONX, NY 10453",(718) 901-4000,PP,open during summer only
KINGSBDG. HGTS COMM. CTR.,3024801,null,40.877579,-73.900715,"3101 KINGSBRIDGE TERR. BRONX, NY 10463",(718) 884-0700,PP,open during summer only
HOWARD HOUSES COM CTR PAL,3034501,null,40.6708654,-73.9085996,"90  WATKINS STREET BROOKLYN, NY 11212",(718) 485-8585,PP,open during summer only
SHOSTAKOVITCH MUSIC & ART,3041501,null,40.6018628,-74.0027792,"1938 BATH AVE BROOKLYN, NY 11214",(718) 732-3716,PP,
FUTURE KIDS LEARNING CENTER,2398201,null,40.636978,-73.948437,"1992 NOSTRAND AVE BROOKLYN, NY 11210",,PP,open during summer only
KIDDIE KORNER PRE-SCHOOL,1600000,null,40.694064,-73.9936245,"117  REMSEN ST BROOKLYN, NY 11201",,PP,open during summer only
GOLDEN DAISIES PREP,1600001,null,40.6407289,-73.9549456,"2307 AVENUE D 1ST FL BROOKLYN, NY 11226",,PP,open during summer only
ST MATTHEW LUTHERAN SCHOOL,1600004,null,40.8655733,-73.9216022,"202  SHERMAN AVE NEW YORK, NY 10034",,PP,open during summer only
CHILDREN'S KINGDOM INC,1600006,null,40.6297149,-73.9438123,"3315  AVENUE I BROOKLYN, NY 11210",(718) 677-1315,PP,open during summer only
LITTLE PEOPLES CHILD DEV CTR,1600008,null,40.6548065,-73.9165821,"9414 CHURCH AVE BROOKLYN, NY 11212",(718) 345-0555,PP,open during summer only
BEIS CHAYA MUSHKA,1600009,null,40.6664432,-73.9372544,"1505 CARROLL STREET BROOKLYN, NY 11213",(718) 756-0770,PP,open during summer only
BET YAAKOV OHR SARAH,1600011,null,40.615411,-73.962665,"1123 AVENUE  N BROOKLYN, NY 11230",(718) 627-8758,PP,
THE AFTER SCHOOL WORKSHOP ON ,1600012,null,40.777703,-73.9604282,"45 EAST 81 STREET NEW YORK, NY 10028",,PP,
UNITED TALMUDICAL ACADEMY,1600015,null,40.7058405,-73.9581346,"212 WILLIAMSBURG EAST  BROOKLYN, NY 11211",(718)    -    ,PP,open during summer only
VIZNITZ CHAIDER TIFERES YISROE,1600016,null,40.6364399,-73.9858257,"1424 43RD STREET BROOKLYN, NY 11219",(718) 633-5808,PP,open during summer only
UNITED TALMUDICAL ACADEMY,1600019,null,40.7012476,-73.9455801,"110 THROOP AVE BROOKLYN, NY 11206",(718) 963-9260,PP,open during summer only
UNITED TALMUDICAL ACADEMY,1600020,null,40.7062883,-73.9567522,"241 KEAP STREET BROOKLYN, NY 11211",(718) 963-9297,PP,open during summer only
ASSOCIATED BETH RIVKAH SCH,1600023,null,40.66225,-73.9461721,"470 LEFFERTS AVENUE BROOKLYN, NY 11225",,PP,open during summer only
MONA PREP DAY CARE,1600025,null,40.6667506,-73.7361124,"241-15 NO. CONDUIT BLVD. ROSEDALE, NY 11422",,PP,open during summer only
UNITED TALMUDICAL ACADEMY,1600026,null,40.7040988,-73.9636714,"75 ROSS STREET BROOKLYN, NY 11249",(718) 935-9845,PP,open during summer only
REHOBTH OPEN BIBLE CHURCH,1600028,null,40.641976,-73.9281419,"5102 AVENUE D BROOKLYN, NY 11203",,PP,open during summer only
UNITED TALMUDICAL ACADEMY,1600031,null,40.703321,-73.9609421,"590 BEDFORD AVE BROOKLYN, NY 11249",(718) 963-9283,PP,open during summer only
UNITED TALMUDICAL ACADEMY,1600035,null,40.7016537,-73.9563269,"125 HEYWARD STREET BROOKLYN, NY 11206",(718) 596-6537,PP,open during summer only
HIGHLIGHTS  ACADEMY INC,1600037,null,40.6668072,-73.9316193,"1688 PRESIDENT STREET BROOKLYN, NY 11213",(718) 953-5555,PP,open during summer only
QUEENS VILLAGE DAY SCHOOL INF,1600039,null,40.7182026,-73.7353382,"96-11  SPRINGFIELD BLVD. QUEENS VILLAGE, NY 11429",,PP,open during summer only
NEW HOPE DAY CARE,1600043,null,40.650161,-73.949184,"1481 NOSTRAND AVENUE BROOKLYN, NY 11226",,PP,open during summer only
RADUGA DAY CARE CENTER,1600045,null,40.5880954,-73.9624098,"2546 EAST 7TH STREET BROOKLYN, NY 11235",,PP,open during summer only
AMC CHILD CARE CENTER,1600044,null,40.6805651,-73.5896023,"322-324 NASSAU ROAD ROOSEVELT, NY 11575",(516) 377-7520,PP,open during summer only
BAY RIDGE AV CHILD CARE CENTER,1600046,null,40.624754,-74.0059945,"1206 BAY RIDGE AVENUE BROOKLYN, NY 11219",,PP,open during summer only
STEP BY STEP DAY CARE CENTER,1600049,null,40.660083,-73.917811,"1163 LENOX ROAD BROOKLYN, NY 11212",(347) 249-3248,PP,open during summer only
RUGGED CROSS CHRISTIAN DCC,1600053,null,40.6922469,-73.9286374,"1084 LAFAYETTE AVENUE BROOKLYN, NY 11221",,PP,open during summer only
ROUND THE CLOCK ,1600057,null,40.8582715,-73.895486,"2380 MARION AVENUE BRONX, NY 10458",,PP,open during summer only
VANDERBILT YMCA DAY CAMP,1600061,null,40.7532726,-73.9709927,"224 EAST 47TH STREET NEW YORK, NY 10017",,PP,open during summer only
SUNSHINE ABC II,1600065,null,40.7566335,-73.8231811,"142-15 FRANKLIN AVENUE FLUSHING, NY 11355",(718) 445-5980,PP,open during summer only
KIDS PALACE,1600062,null,40.7116321,-73.8143274,"84-75  DANIELS STREET JAMAICA, NY 11435",(718) 658-7818,PP,open during summer only
PRECIOUS EARLY CHILDHOOD ACAD,1600071,null,40.6603192,-73.9196637,"9624 KINGS HIGHWAY BROOKLYN, NY 11212",,PP,open during summer only
CLAREMONT NEIGHBORHOOD CENTERS,1600066,null,40.8330233,-73.9052503,"489  EAST 169 STREET BRONX, NY 10456",(718) 588-1000,PP,open during summer only
FIRST CHOICE ACADEMY DAY CARE,1600068,null,40.6504277,-73.9227823,"192 EAST 58TH STREET-BMT BROOKLYN, NY 11203",(718) 451-3565,PP,open during summer only
HIGHBRIDGE ADVISORY COUNCIL HS,1600077,GH,40.8284184,-73.9252309,"880 RIVER AVENUE BRONX, NY 10454",(718) 742-2369,FF,open during summer only
"STAR AMERICA, INC",1600083,null,40.743583,-73.8842415,"80-07 BROADWAY ELMHURST, NY 11373",,PP,open during summer only
TRADITIONAL CHILD CARE CTR.,1600089,GC,40.6618469,-73.9228439,"1112 WINTHROP STREET BROOKLYN, NY 11212",,FF,open during summer only
CONGREGATION ZERA KODESH,1600072,null,40.6363718,-73.9926481,"1237 48TH STREET BROOKLYN, NY 11219",,PP,open during summer only
"NORTHEAST BRONX DC CTR, INC",1600097,null,40.9014042,-73.8982015,"5401 POST ROAD BRONX, NY 10471",,PP,open during summer only
"OYSTER BABIES, INC",1600099,null,40.8737254,-73.533106,"15 SHORE AVENUE OYSTER BAY, NY 11771",,PP,open during summer only
FOREVER YOUNG DAY CARE INC.,1600086,null,40.641965,-73.9340182,"4503 AVENUE D BROOKLYN, NY 11203",(718) 859-8570,PP,open during summer only
ALL CHILDREN'S CHILD CARE,1600098,null,40.760172,-73.932899,"35-01 24TH STREET LONG ISLAND CITY, NY 11106",(718) 707-0501,PP,open during summer only
LITTLE HEARTS DAYCARE ASP,1600100,null,40.6319175,-73.9433552,"3403 AVENUE  H BROOKLYN, NY 11210",       ,PP,open during summer only
LIBERTY CHRISTIAN ACADEMY,1600104,null,40.840023,-73.869657,"1600 ADAMS STREET BRONX, NY 10460",,PP,open during summer only
SAN JOSE DAY NURSERY,1600101,null,40.7451148,-74.004371,"432  WEST 20 STREET NEW YORK, NY 10011",,PP,open during summer only
CNC CARE CENTER,1600103,null,40.65571,-73.952731,"647  ROGERS AVENUE BROOKLYN, NY 11226",(718) 284-0172,PP,
NOAH'S ARK PROGRESSIVE LEARNIN,1600105,null,40.7659107,-73.7722066,"38-20 BELL BLVD. BAYSIDE, NY 11361",,PP,open during summer only
TRUE DELIVERANCE CHRISTIAN SCH,1600109,null,40.6935493,-73.7643037,"188-15 TURIN DRIVE SAINT ALBANS, NY 11412",,PP,open during summer only
LITTLE ANGELS DAY CARE CTR#4,1600110,null,40.6569023,-73.9281735,"899 CLARKSON AVENUE BROOKLYN, NY 11203",,PP,open during summer only
DISTRICT 31 LATCHKEY #41,1600112,null,40.5739225,-74.1090805,"216 CLAWSON ST STATEN ISLAND, NY 10306",,PP,
DISTRICT 31 LATCHKEY #11,1600114,null,40.5907092,-74.0979039,"50  JEFFERSON ST. STATEN ISLAND, NY 10304",,PP,
DISTRICT 31 LATCHKEY#36,1600137,null,40.5432382,-74.1825783,"255 IONIA AV STATEN ISLAND, NY 10312",,PP,
DISTRICT 31 LATCHKEY#38,1600138,null,40.574938,-74.099425,"421 LINCOLN AV STATEN ISLAND, NY 10306",,PP,
DISTRICT 31 LATCHKEY#45,1600140,null,40.6283058,-74.1075161,"58 LAWRENCE AV STATEN ISLAND, NY 10310",(718) 442-6123,PP,
DISTRICT 31 LATCHKEY#46,1600141,null,40.5942107,-74.0805212,"41  REID AV STATEN ISLAND, NY 10305",,PP,
DISTRICT 31 LATCHKEY #52,1600144,null,40.5824372,-74.0886964,"450 BUEL AV STATEN ISLAND, NY 10305",,PP,
DISTRICT 31 LATCHKEY #55,1600146,null,40.536389,-74.1634219,"54 OSBORN STR. STATEN ISLAND, NY 10312",,PP,
DISTRICT 31 LATCHKEY #56,1600147,null,40.5422589,-74.2140213,"250 VAMER AV STATEN ISLAND, NY 10309",,PP,
CYPRESS HILLS CHILD CARE CTR,323101,GC,40.6839486,-73.8736808,"108 PINE STREET BROOKLYN, NY 11208",(718) 647-5005,FF,
EL-SHADDAI PRESCHOOL,1600149,null,40.8682817,-73.8631677,"2910 BARNES AVENUE BRONX, NY 10467",(718) 515-5004,PP,open during summer only
DISTRICT 31 LATCHKEY #8,1600156,null,40.5480965,-74.1521122,"100 LINDENWOOD ROAD STATEN ISLAND, NY 10308",,PP,
OUR CHILDREN'S LEARNING CTR.,1600158,null,40.6522682,-73.9230947,"5735 KINGS HIGHWAY BROOKLYN, NY 11203",,PP,open during summer only
VERNON AVE. CHILDREN'S SCHOOL,1600161,null,40.6959744,-73.9354351,"386 VERNON AVENUE BROOKLYN, NY 11206",(718) 455-8892,PP,open during summer only
LIC YMCA EARLY CHILD CARE PRO,1600164,null,40.744771,-73.932449,"32-23 QUEENS BLVD LONG ISLAND CITY, NY 11101",(718) 392-7932,PP,open during summer only
D'S SUNSHINE PRESCHOOL,1600167,null,40.677102,-73.790521,"121-07 SUTPHIN BOULEVARD ROCHDALE VILLAG, NY 11434",(718) 659-3855,PP,
STATEN ISL EARLY CHILDHOOD CTR,1600170,null,40.638288,-74.0768519,"467 ST. MARKS PLACE STATEN ISLAND, NY 10301",(718) 376-2012,PP,open during summer only
YESHIVA CHADASHA SEFARADIT,1600174,null,40.7293578,-73.8473425,"66-35 108 STREET FOREST HILLS, NY 11375",(718) 268-3444,PP,open during summer only
THE CRAYON BOX,1600175,null,40.7562236,-73.7892556,"44-10 192ND STREET- 1ST FL FLUSHING, NY 11358",,PP,
HAPPY SCHOOL PRESCHOOL,1600176,null,40.6061371,-73.9732337,"1717 DAHILL ROAD BROOKLYN, NY 11223",,PP,open during summer only
BROOKLYN CHINESE-AMERICAN,1600180,null,40.638474,-74.0058897,"812 54TH STREET BROOKLYN, NY 11220",,PP,
B W Y   INC.,1600183,null,40.7472125,-73.8880505,"77-14 ROOSEVELT AVE. JACKSON HEIGHTS, NY 11372",(718) 205-4855,PP,open during summer only
JASMIN EDUCATIONAL ENT. INC,1600181,null,40.8640865,-73.899405,"2500 JEROME AVE. BRONX, NY 10468",(718) 543-4884,PP,open during summer only
"LITTLE PARADISE,INC",1600182,null,40.6440596,-73.9319492,"4714 CLARENDON ROAD BROOKLYN, NY 11203",,PP,open during summer only
SANCTIFIED LEARNING CENTER,1600188,null,40.6623031,-73.9481025,"404 LEFFERTS AVENUE BROOKLYN, NY 11225",,PP,open during summer only
MOSHOLU MONTEFIORE/ROCHAMBEAU,1600189,null,40.8739691,-73.8801556,"3130  ROCHAMBEAU AVENUE BRONX, NY 10467",(718) 654-0563,PP,
"WORKING PARENTS ALLIANCE, INC.",1600197,null,40.613814,-73.9389991,"3301 QUENTIN ROAD BROOKLYN, NY 11234",(718) 965-4757,PP,open during summer only
YOUNG WORLD LEARNING CTR,1600200,null,40.658333,-73.934326,"628 SCHNECTADY AVENUE BROOKLYN, NY 11203",,PP,
KIND START PRESCHOOL,1600205,null,40.6080439,-74.0033928,"7702 NEW UTRECHT AVE.,1ST BROOKLYN, NY 11214",(718) 621-5382,PP,open during summer only
TREMONT UNTD.METHODIST D.C,1600207,null,40.8481461,-73.8977335,"1951 WASHINGTON AVE. BRONX, NY 10457",(347) 664-7168,PP,open during summer only
RENA DAY CARE CTR.P.S.4,1600216,null,40.8348474,-73.9412036,"500 WEST. 160 TH STREET NEW YORK, NY 10032",(212) 795-4444,PP,open during summer only
THE CHILDREN'S AID SOC. #5,1600222,null,40.8589195,-73.9224277,"3703 10 AVENUE NEW YORK, NY 10034",,PP,open during summer only
THE CHILDREN'S AID SOC. #218,1600223,null,40.8608196,-73.9300663,"4600 BROADWAY NEW YORK, NY 10040",(212) 569-2880,PP,open during summer only
WHEDCO AT URBAN HORIZONS,1600225,null,40.8356937,-73.9196626,"1220 GERARD AVENUE BRONX, NY 10452",(718) 839-1122,PP,open during summer only
UAU PS18 BEAC CTR,1600226,null,40.6365434,-74.1168817,"221 BROADWAY STATEN ISLAND, NY 10310",,PP,open during summer only
ASPIRA -PROJ.BEAM ONE,1600232,null,40.8102073,-73.9183901,"345  BROOK AVE. BRONX, NY 10454",(718) 585-3353,PP,open during summer only
SIC/ HIGHBR. ADV. CNCL. S.A.,1600233,null,40.8422963,-73.9244269,"1399 OGDEN AVE. BRONX, NY 10452",(718) 992-1321,PP,open during summer only
